transaction_id,gateway,amount,status,failure_reason,date
70711450,Hitachi,734476,Success,,19/07/2024
69212534,Cybersource,144094,Failed,Incorrect credentials,15/06/2024
80104174,Hitachi,672602,Failed,Configuration Error,23/09/2024
71839631,Cybersource,151986,Success,,25/10/2024
92893469,Paynxt,281280,Success,,12/05/2024
28912028,IMSL,886364,Success,,12/12/2024
54688319,TPSL,325145,Success,,02/02/2024
61587881,TPSL,773471,Failed,Downtime,04/06/2024
30629014,Paynxt,747628,Failed,Downtime,22/01/2024
98415371,Hitachi,445810,Failed,Risk,07/10/2024
25832368,Cybersource,470592,Success,,02/11/2024
50577048,Paynxt,684954,Success,,09/04/2024
18251411,Paynxt,935601,Success,,22/12/2024
36385441,IMSL,784496,Success,,17/04/2024
68401201,TPSL,173281,Failed,Configuration Error,04/05/2024
93675079,TPSL,216449,Success,,30/08/2024
70112072,Cybersource,655581,Success,,19/04/2024
84988875,Cybersource,375500,Failed,Configuration Error,30/04/2024
70549558,Cybersource,350943,Failed,Incorrect credentials,13/01/2024
38192440,Cybersource,67093,Failed,Configuration Error,12/04/2024
92797870,Cybersource,670332,Failed,Configuration Error,26/09/2024
43557289,IMSL,604789,Failed,Gateway Timeout,14/08/2024
50233435,TPSL,392356,Success,,13/06/2024
81154101,Hitachi,910574,Success,,23/09/2024
54390939,IMSL,996337,Failed,Configuration Error,20/12/2024
70342031,Cybersource,821595,Failed,Configuration Error,30/06/2024
91001024,Paynxt,46939,Success,,24/04/2024
16512771,Paynxt,81300,Failed,Risk,02/04/2024
37093248,Cybersource,581531,Success,,16/05/2024
71363016,TPSL,842231,Success,,24/10/2024
33527098,Hitachi,690756,Success,,08/04/2024
38672062,Cybersource,266217,Success,,21/07/2024
25837080,Hitachi,274179,Success,,28/06/2024
11729162,Paynxt,243514,Success,,17/12/2024
13934871,TPSL,47093,Failed,Downtime,01/01/2024
44596509,Cybersource,863104,Failed,Risk,25/04/2024
10863924,TPSL,300489,Failed,Configuration Error,22/02/2024
42747364,TPSL,964826,Success,,06/02/2024
38591888,IMSL,317022,Success,,18/05/2024
99256065,TPSL,548034,Failed,Downtime,20/03/2024
56678075,IMSL,174879,Success,,10/12/2024
27638920,IMSL,580593,Failed,Downtime,02/09/2024
17771634,Paynxt,466454,Success,,09/05/2024
48185895,Cybersource,642559,Failed,Incorrect credentials,02/04/2024
23267580,IMSL,81959,Success,,04/03/2024
79746787,Paynxt,98351,Failed,Configuration Error,02/12/2024
67340094,IMSL,102868,Failed,Gateway Timeout,11/12/2024
76537984,Cybersource,71241,Failed,Incorrect credentials,04/08/2024
68034003,IMSL,290066,Success,,07/09/2024
79743946,Paynxt,295911,Success,,17/05/2024
98456582,Cybersource,977693,Success,,15/07/2024
36159317,Hitachi,53863,Failed,Incorrect credentials,27/08/2024
58483819,Hitachi,82421,Failed,Risk,11/06/2024
42542691,TPSL,416700,Failed,Configuration Error,05/04/2024
90170729,Hitachi,654356,Failed,Risk,17/04/2024
60952015,IMSL,192998,Failed,Configuration Error,09/09/2024
16408029,TPSL,24782,Success,,26/11/2024
80356517,Cybersource,509431,Success,,09/04/2024
58752617,TPSL,290380,Failed,Incorrect credentials,15/12/2024
96054122,Hitachi,283296,Failed,Incorrect credentials,13/01/2024
24012961,Hitachi,128841,Failed,Gateway Timeout,14/03/2024
75680816,TPSL,821118,Success,,19/07/2024
60610610,Paynxt,804088,Failed,Risk,06/11/2024
18225326,IMSL,996151,Failed,Incorrect credentials,19/01/2024
61264061,Paynxt,614696,Success,,30/05/2024
86835488,Paynxt,429898,Success,,16/06/2024
12731507,TPSL,916175,Failed,Risk,18/03/2024
83230186,Hitachi,574470,Failed,Downtime,11/12/2024
91565734,Cybersource,528646,Success,,09/11/2024
79152058,Hitachi,738342,Success,,29/05/2024
15720222,Cybersource,687263,Failed,Gateway Timeout,16/03/2024
70982111,Paynxt,808343,Failed,Downtime,20/11/2024
79824227,Hitachi,429464,Success,,18/06/2024
86889827,Cybersource,540646,Success,,27/02/2024
79721309,TPSL,210115,Success,,24/02/2024
20744520,IMSL,859823,Success,,27/04/2024
42926754,Paynxt,722018,Success,,10/09/2024
94530059,Hitachi,121099,Failed,Downtime,19/11/2024
72772148,Paynxt,55831,Success,,30/07/2024
16781356,Cybersource,950886,Success,,23/10/2024
77719025,TPSL,986253,Failed,Incorrect credentials,22/06/2024
71224097,IMSL,247698,Failed,Configuration Error,24/11/2024
34467782,IMSL,922945,Failed,Incorrect credentials,23/09/2024
89507280,Hitachi,538813,Success,,29/08/2024
35674544,IMSL,826778,Success,,11/11/2024
18860877,Paynxt,982439,Failed,Incorrect credentials,16/12/2024
65209899,TPSL,693109,Success,,12/11/2024
78408636,TPSL,363467,Success,,29/04/2024
96622950,Paynxt,351551,Success,,19/10/2024
32471125,IMSL,946082,Failed,Configuration Error,15/02/2024
62767584,TPSL,756831,Success,,24/09/2024
10789426,Hitachi,671591,Success,,09/09/2024
96140966,Cybersource,377220,Success,,31/07/2024
51500040,Paynxt,46988,Success,,07/06/2024
23394973,IMSL,43469,Success,,12/01/2024
44742248,Paynxt,997119,Success,,02/07/2024
42508391,IMSL,854349,Success,,15/01/2024
91857268,Hitachi,712783,Failed,Configuration Error,14/12/2024
14331121,Hitachi,658761,Success,,05/07/2024
75652408,Hitachi,108655,Success,,23/08/2024
79492811,Hitachi,807012,Success,,19/06/2024
61592295,Paynxt,348367,Success,,11/07/2024
28149894,TPSL,417904,Success,,15/08/2024
13014007,IMSL,122386,Failed,Gateway Timeout,18/05/2024
60650650,Hitachi,289568,Failed,Incorrect credentials,17/07/2024
77545493,IMSL,81406,Failed,Incorrect credentials,29/12/2024
57132777,IMSL,843024,Failed,Risk,19/04/2024
68370150,Hitachi,324523,Failed,Downtime,11/05/2024
59318415,Paynxt,478074,Success,,25/05/2024
46389373,Cybersource,858891,Success,,05/10/2024
57605127,Paynxt,392122,Success,,16/07/2024
25784992,IMSL,944064,Success,,21/02/2024
36016853,Cybersource,34153,Failed,Configuration Error,21/12/2024
61101645,Cybersource,607418,Failed,Downtime,30/06/2024
80006416,Hitachi,779410,Failed,Gateway Timeout,27/10/2024
93413645,Cybersource,976756,Failed,Incorrect credentials,26/09/2024
51602090,Hitachi,304399,Success,,25/05/2024
93101086,Cybersource,479966,Success,,15/12/2024
20357610,TPSL,257244,Failed,Incorrect credentials,20/06/2024
58456591,Cybersource,171190,Success,,26/01/2024
60171594,IMSL,754564,Success,,17/03/2024
51029196,IMSL,180605,Failed,Gateway Timeout,29/03/2024
72743925,Hitachi,635676,Success,,19/02/2024
48068512,Cybersource,458449,Success,,28/04/2024
70469184,Hitachi,273581,Success,,10/05/2024
79475055,Hitachi,976729,Failed,Gateway Timeout,06/06/2024
10448749,Cybersource,638487,Success,,26/06/2024
35637118,Cybersource,432019,Failed,Downtime,01/10/2024
38332112,Paynxt,629941,Success,,10/12/2024
34817782,Hitachi,290247,Success,,19/11/2024
45454620,Cybersource,912879,Success,,11/01/2024
85255766,IMSL,963750,Failed,Gateway Timeout,16/01/2024
95584569,Hitachi,415464,Success,,01/09/2024
90800385,IMSL,689806,Success,,01/10/2024
32169698,Paynxt,644467,Failed,Gateway Timeout,29/10/2024
27184347,Paynxt,683206,Success,,23/02/2024
52705811,TPSL,266314,Success,,20/08/2024
53450847,IMSL,702506,Failed,Downtime,20/09/2024
51443325,Cybersource,261858,Success,,28/05/2024
23626178,Paynxt,837678,Failed,Gateway Timeout,06/05/2024
93587409,TPSL,19318,Success,,15/01/2024
33530613,TPSL,104097,Failed,Gateway Timeout,30/07/2024
85201701,IMSL,159954,Failed,Incorrect credentials,03/11/2024
77244250,TPSL,4186,Failed,Downtime,15/06/2024
60742967,IMSL,728993,Success,,30/10/2024
14817721,IMSL,255184,Failed,Gateway Timeout,04/02/2024
90364959,Paynxt,718231,Failed,Configuration Error,24/05/2024
94498485,IMSL,227156,Success,,15/04/2024
78444983,Hitachi,149821,Failed,Downtime,19/01/2024
98221215,Hitachi,608485,Success,,18/06/2024
83099344,Paynxt,145963,Success,,06/07/2024
42106272,Cybersource,422717,Success,,08/11/2024
49437362,Paynxt,368352,Success,,04/12/2024
54975400,Cybersource,727176,Success,,13/11/2024
50913394,TPSL,846128,Success,,19/03/2024
37711805,Paynxt,304772,Failed,Gateway Timeout,30/04/2024
38108374,Paynxt,763495,Success,,07/04/2024
56977029,TPSL,28147,Failed,Downtime,12/09/2024
90624513,IMSL,60557,Failed,Gateway Timeout,14/03/2024
15195445,Hitachi,666927,Success,,02/08/2024
79307752,Paynxt,363797,Failed,Configuration Error,13/11/2024
28705399,Hitachi,990955,Success,,10/09/2024
54802462,TPSL,526570,Success,,23/12/2024
60962520,Paynxt,584346,Success,,29/10/2024
27352882,Paynxt,975520,Success,,07/12/2024
83104837,Paynxt,759919,Success,,25/06/2024
37938865,Hitachi,762802,Success,,30/05/2024
50021657,Paynxt,986389,Success,,20/12/2024
34192909,Hitachi,163580,Failed,Risk,10/06/2024
63310943,Cybersource,903140,Failed,Downtime,11/01/2024
56296854,Cybersource,380488,Success,,20/12/2024
89696008,Hitachi,97255,Failed,Downtime,20/07/2024
29185907,Cybersource,277936,Success,,01/08/2024
43166502,Paynxt,595725,Failed,Incorrect credentials,03/02/2024
72162640,Paynxt,514406,Failed,Downtime,30/09/2024
74406375,Paynxt,438602,Failed,Incorrect credentials,07/04/2024
85493064,TPSL,244502,Failed,Downtime,24/01/2024
82099837,TPSL,641641,Failed,Downtime,06/02/2024
